2026-07-06 01:28:40,770	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 01:28:40,771	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 01:28:43,250	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 01:28:44,078 E 25610 6814650] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '387591bdea50ac7028746b9501000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=25675)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,045	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,066	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 37, 'env_steps': 1212416, 'episode_return_mean': np.float64(861.90625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06480352580547333), 'wall_s': 1472.9}
{'iter': 38, 'env_steps': 1245184, 'episode_return_mean': np.float64(861.53125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06671983003616333), 'wall_s': 1515.7}
{'iter': 39, 'env_steps': 1277952, 'episode_return_mean': np.float64(859.40625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.07522037625312805), 'wall_s': 1553.0}
{'iter': 40, 'env_steps': 1310720, 'episode_return_mean': np.float64(861.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.07030527293682098), 'wall_s': 1590.1}
{'iter': 41, 'env_steps': 1343488, 'episode_return_mean': np.float64(856.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0705198273062706), 'wall_s': 1626.4}
{'iter': 42, 'env_steps': 1376256, 'episode_return_mean': np.float64(857.78125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06206049025058746), 'wall_s': 1663.2}
{'iter': 43, 'env_steps': 1409024, 'episode_return_mean': np.float64(869.15625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05971124395728111), 'wall_s': 1700.0}
{'iter': 44, 'env_steps': 1441792, 'episode_return_mean': np.float64(860.21875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05655371770262718), 'wall_s': 1736.8}
{'iter': 45, 'env_steps': 1474560, 'episode_return_mean': np.float64(864.09375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05825711041688919), 'wall_s': 1773.6}
{'iter': 46, 'env_steps': 1507328, 'episode_return_mean': np.float64(863.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0913734957575798), 'wall_s': 1810.3}
{'iter': 47, 'env_steps': 1540096, 'episode_return_mean': np.float64(856.71875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.08501546084880829), 'wall_s': 1847.3}
{'iter': 48, 'env_steps': 1572864, 'episode_return_mean': np.float64(851.0625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.08723767846822739), 'wall_s': 1884.5}
{'iter': 49, 'env_steps': 1605632, 'episode_return_mean': np.float64(866.15625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.09417878836393356), 'wall_s': 1921.5}
{'iter': 50, 'env_steps': 1638400, 'episode_return_mean': np.float64(859.6875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.09465862065553665), 'wall_s': 1958.3}
{'iter': 51, 'env_steps': 1671168, 'episode_return_mean': np.float64(851.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.12023161351680756), 'wall_s': 1995.0}
{'iter': 52, 'env_steps': 1703936, 'episode_return_mean': np.float64(859.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.134881392121315), 'wall_s': 2031.6}
{'iter': 53, 'env_steps': 1736704, 'episode_return_mean': np.float64(845.25), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.13435456156730652), 'wall_s': 2068.0}
{'iter': 54, 'env_steps': 1769472, 'episode_return_mean': np.float64(849.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.3060561716556549), 'wall_s': 2104.2}
{'iter': 55, 'env_steps': 1802240, 'episode_return_mean': np.float64(788.75), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.5260273814201355), 'wall_s': 2140.6}
{'iter': 56, 'env_steps': 1835008, 'episode_return_mean': np.float64(677.875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.3688180148601532), 'wall_s': 2176.9}
{'iter': 57, 'env_steps': 1867776, 'episode_return_mean': np.float64(754.71875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.20427991449832916), 'wall_s': 2213.2}
{'iter': 58, 'env_steps': 1900544, 'episode_return_mean': np.float64(813.59375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.19801105558872223), 'wall_s': 2251.2}
{'iter': 59, 'env_steps': 1933312, 'episode_return_mean': np.float64(808.0625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.45235592126846313), 'wall_s': 2287.2}
