2026-07-06 09:03:18,473	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:03:18,474	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:03:31,209	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:03:35,122 E 36538 7326988] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '223b2ce134c5d6b609adce8d01000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=36564)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,729	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,859	INFO trainable.py:154 -- Trainable.setup took 25.373 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2026-07-06 09:03:43,859	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 37, 'env_steps': 1213008, 'episode_return_mean': np.float64(693.25), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.012571069411933422), 'wall_s': 2648.0}
{'iter': 38, 'env_steps': 1245792, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.012985306791961193), 'wall_s': 2682.2}
{'iter': 39, 'env_steps': 1278576, 'episode_return_mean': np.float64(681.0208333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.011254532262682915), 'wall_s': 2718.7}
{'iter': 40, 'env_steps': 1311360, 'episode_return_mean': np.float64(680.7916666666666), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.009789685718715191), 'wall_s': 2758.8}
{'iter': 41, 'env_steps': 1344144, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.012358108535408974), 'wall_s': 2794.9}
{'iter': 42, 'env_steps': 1376928, 'episode_return_mean': np.float64(687.0416666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.010394910350441933), 'wall_s': 2829.1}
{'iter': 43, 'env_steps': 1409712, 'episode_return_mean': np.float64(688.0208333333334), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.011158001609146595), 'wall_s': 2863.9}
{'iter': 44, 'env_steps': 1442496, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.012485639192163944), 'wall_s': 2901.2}
{'iter': 45, 'env_steps': 1475280, 'episode_return_mean': np.float64(686.25), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.011326772160828114), 'wall_s': 2938.6}
{'iter': 46, 'env_steps': 1508064, 'episode_return_mean': np.float64(684.3541666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.01239599660038948), 'wall_s': 2973.6}
{'iter': 47, 'env_steps': 1540848, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.009593350812792778), 'wall_s': 3008.7}
{'iter': 48, 'env_steps': 1573632, 'episode_return_mean': np.float64(682.6875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007701672147959471), 'wall_s': 3045.1}
{'iter': 49, 'env_steps': 1606416, 'episode_return_mean': np.float64(683.9166666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008441436104476452), 'wall_s': 3080.7}
{'iter': 50, 'env_steps': 1639200, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.010425078682601452), 'wall_s': 3115.3}
{'iter': 51, 'env_steps': 1671984, 'episode_return_mean': np.float64(678.5833333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007685534190386534), 'wall_s': 3150.1}
{'iter': 52, 'env_steps': 1704768, 'episode_return_mean': np.float64(677.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008868616074323654), 'wall_s': 3185.7}
{'iter': 53, 'env_steps': 1737552, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008091080002486706), 'wall_s': 3221.8}
{'iter': 54, 'env_steps': 1770336, 'episode_return_mean': np.float64(688.8125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006988240405917168), 'wall_s': 3256.0}
{'iter': 55, 'env_steps': 1803120, 'episode_return_mean': np.float64(687.4375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007138177752494812), 'wall_s': 3290.3}
{'iter': 56, 'env_steps': 1835904, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006639500614255667), 'wall_s': 3326.5}
{'iter': 57, 'env_steps': 1868688, 'episode_return_mean': np.float64(689.6666666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0075566708110272884), 'wall_s': 3363.8}
{'iter': 58, 'env_steps': 1901472, 'episode_return_mean': np.float64(691.2916666666666), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0072728716768324375), 'wall_s': 3400.1}
{'iter': 59, 'env_steps': 1934256, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008617358282208443), 'wall_s': 3435.1}
{'iter': 60, 'env_steps': 1967040, 'episode_return_mean': np.float64(676.6458333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008958309888839722), 'wall_s': 3472.4}
{'iter': 61, 'env_steps': 1999824, 'episode_return_mean': np.float64(678.0), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.007104332558810711), 'wall_s': 3511.2}
{'iter': 62, 'env_steps': 2032608, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006968328729271889), 'wall_s': 3550.6}
{'iter': 63, 'env_steps': 2065392, 'episode_return_mean': np.float64(681.4166666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.010487106628715992), 'wall_s': 3586.9}
{'iter': 64, 'env_steps': 2098176, 'episode_return_mean': np.float64(682.4166666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.00919815432280302), 'wall_s': 3627.2}
{'iter': 65, 'env_steps': 2130960, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008188903331756592), 'wall_s': 3666.0}
{'iter': 66, 'env_steps': 2163744, 'episode_return_mean': np.float64(680.5), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.00832708366215229), 'wall_s': 3702.4}
{'iter': 67, 'env_steps': 2196528, 'episode_return_mean': np.float64(679.9583333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008252637460827827), 'wall_s': 3740.0}
{'iter': 68, 'env_steps': 2229312, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.009366381913423538), 'wall_s': 3777.9}
{'iter': 69, 'env_steps': 2262096, 'episode_return_mean': np.float64(682.3958333333334), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.008655615150928497), 'wall_s': 3825.4}
