2026-07-06 09:45:05,419	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:45:05,420	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:45:08,289	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:45:09,145 E 37725 7368773] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '8b0497f13ce866c030c4e79201000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
2026-07-06 09:45:11,739	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
[36m(SingleAgentEnvRunner pid=37758)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:45:11,787	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 44, 'env_steps': 1442496, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8885283470153809), 'wall_s': 106.4}
{'iter': 45, 'env_steps': 1475280, 'episode_return_mean': np.float64(362.83395155460784), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8769605159759521), 'wall_s': 109.0}
{'iter': 46, 'env_steps': 1508064, 'episode_return_mean': np.float64(362.20524856462237), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8662585020065308), 'wall_s': 111.6}
{'iter': 47, 'env_steps': 1540848, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8562028408050537), 'wall_s': 113.9}
{'iter': 48, 'env_steps': 1573632, 'episode_return_mean': np.float64(363.7284606674415), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8481682538986206), 'wall_s': 116.0}
{'iter': 49, 'env_steps': 1606416, 'episode_return_mean': np.float64(365.3094008539225), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.841199517250061), 'wall_s': 118.2}
{'iter': 50, 'env_steps': 1639200, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8247253894805908), 'wall_s': 120.2}
{'iter': 51, 'env_steps': 1671984, 'episode_return_mean': np.float64(369.9914393649046), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8185570240020752), 'wall_s': 122.8}
{'iter': 52, 'env_steps': 1704768, 'episode_return_mean': np.float64(370.05606250289463), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8108190298080444), 'wall_s': 125.3}
{'iter': 53, 'env_steps': 1737552, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.8007174730300903), 'wall_s': 127.9}
{'iter': 54, 'env_steps': 1770336, 'episode_return_mean': np.float64(368.8951832597063), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7913603782653809), 'wall_s': 130.1}
{'iter': 55, 'env_steps': 1803120, 'episode_return_mean': np.float64(369.7067117359135), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7916748523712158), 'wall_s': 132.3}
{'iter': 56, 'env_steps': 1835904, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7880885601043701), 'wall_s': 134.0}
{'iter': 57, 'env_steps': 1868688, 'episode_return_mean': np.float64(365.62074078749464), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7870457172393799), 'wall_s': 136.3}
{'iter': 58, 'env_steps': 1901472, 'episode_return_mean': np.float64(366.8988217837641), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7812892198562622), 'wall_s': 138.8}
{'iter': 59, 'env_steps': 1934256, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.774224042892456), 'wall_s': 141.2}
{'iter': 60, 'env_steps': 1967040, 'episode_return_mean': np.float64(369.65203144014913), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7804549932479858), 'wall_s': 143.7}
{'iter': 61, 'env_steps': 1999824, 'episode_return_mean': np.float64(371.2454571751479), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7719393968582153), 'wall_s': 146.2}
{'iter': 62, 'env_steps': 2032608, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7684714794158936), 'wall_s': 148.5}
{'iter': 63, 'env_steps': 2065392, 'episode_return_mean': np.float64(371.52939426434375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7601659297943115), 'wall_s': 151.0}
{'iter': 64, 'env_steps': 2098176, 'episode_return_mean': np.float64(370.57943669545557), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7553071975708008), 'wall_s': 153.1}
{'iter': 65, 'env_steps': 2130960, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7409136295318604), 'wall_s': 155.3}
{'iter': 66, 'env_steps': 2163744, 'episode_return_mean': np.float64(378.33117309264924), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7330591678619385), 'wall_s': 157.7}
{'iter': 67, 'env_steps': 2196528, 'episode_return_mean': np.float64(378.81358498437476), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.735129714012146), 'wall_s': 159.9}
{'iter': 68, 'env_steps': 2229312, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.729198932647705), 'wall_s': 162.5}
